0_17573, 0_17574, 0_17576, 0_17577, 0_17578, 0_17579, 0_17580, 0_17581, 0_17582	1_32008, 1_32133, 1_32671, 1_33024, 1_33266, 1_33329	2_18302, 2_18303, 2_18314, 2_18320, 2_18321, 2_35951, 2_35952, 2_35953, 2_52137, 2_52175, 2_52186, 2_52187, 2_52188, 2_52189, 2_86738, 2_86739, 2_86740, 2_86741, 2_86742, 2_86747, 2_86748, 2_86749, 2_86750, 2_86751, 2_86752	3_49979, 3_49983, 3_53659, 3_53660, 3_53661, 3_53662, 3_53663, 3_53666, 3_58154, 3_58243, 3_58244, 3_6945, 3_6946	4_32287, 4_32288, 4_32289, 4_32290, 4_32291, 4_32292, 4_32293, 4_32294, 4_32295, 4_32296, 4_34001, 4_34008, 4_34012, 4_34013, 4_34014, 4_4379, 4_4380, 4_4382, 4_4383	5_19707, 5_21272, 5_21273, 5_21274, 5_21275, 5_21276, 5_21333, 5_21334, 5_706, 5_707
0_11766, 0_11838, 0_11839, 0_11840, 0_11841, 0_11842, 0_11852, 0_11853	1_29946, 1_33817, 1_34095, 1_35066	2_10573, 2_10574, 2_10575, 2_10578, 2_10579, 2_10580, 2_10581, 2_46525, 2_46530, 2_46531, 2_46532, 2_46533, 2_46534, 2_46535, 2_46544, 2_46545, 2_46547, 2_46548, 2_81591, 2_81671, 2_81672, 2_81673, 2_81674, 2_81675, 2_81676, 2_81690, 2_81691, 2_81692	3_31620, 3_31621, 3_35387, 3_35388, 3_35389, 3_35390, 3_35391, 3_39211, 3_39212, 3_39219, 3_39220, 3_43549, 3_43551, 3_43552, 3_43553, 3_43555, 3_43559, 3_43560	4_18773, 4_19108, 4_19109, 4_19110, 4_19111, 4_24065, 4_24066, 4_24071, 4_24072, 4_24073, 4_24074, 4_24075, 4_24076, 4_24093, 4_24094	5_11667, 5_11843, 5_11844, 5_11845
0_27094, 0_27095, 0_27096, 0_27097, 0_27098, 0_27099, 0_27100, 0_27101, 0_27102, 0_27103, 0_27104, 0_27105, 0_27106, 0_27107, 0_27108, 0_27109	1_10499, 1_13175, 1_13336, 1_14165, 1_7553, 1_9022	2_24865, 2_24866, 2_24870, 2_60709, 2_60717, 2_60718, 2_60719, 2_60720, 2_60721, 2_60722, 2_95022, 2_95023, 2_95024, 2_95025, 2_95026, 2_95030, 2_95033	3_68750, 3_68755, 3_72968, 3_77123	4_41366, 4_41367, 4_41368, 4_41369, 4_41374, 4_41375, 4_46449, 4_46450, 4_46451, 4_46452, 4_46453, 4_46454, 4_46455, 4_46456, 4_46457, 4_46458, 4_46459, 4_46460, 4_46461, 4_46462, 4_46463, 4_46464, 4_46465	5_26102, 5_26103, 5_26104, 5_26105, 5_26106, 5_26107, 5_26108, 5_26110, 5_26111, 5_26112, 5_26113
0_27255, 0_27256, 0_27257, 0_27258, 0_27259	1_13814	2_18929, 2_18931, 2_18932, 2_18933, 2_18935, 2_52273, 2_60860, 2_60861, 2_60862, 2_60863, 2_60864, 2_60865, 2_60866, 2_60867, 2_60868, 2_60869, 2_60870, 2_60872, 2_60873, 2_60874, 2_60908, 2_60909, 2_95180, 2_95181, 2_95182, 2_95183	3_50368, 3_50369, 3_50371, 3_50372, 3_50374, 3_54101, 3_55139, 3_73044, 3_73045, 3_73046, 3_73047, 3_73048, 3_73049, 3_73050, 3_73051, 3_77220, 3_77221, 3_77222, 3_77223, 3_77224, 3_77269	4_13089, 4_32852, 4_32853, 4_32856, 4_32857, 4_32858, 4_46583, 4_46584, 4_46585, 4_46586, 4_46587, 4_46588, 4_46589, 4_46590, 4_46592, 4_46593, 4_46594	5_17579, 5_17580, 5_17584, 5_17585, 5_17586, 5_17773
0_15615, 0_15616, 0_15617, 0_15621, 0_15622	1_16673, 1_24268, 1_24287, 1_24554, 1_25010, 1_25656	2_13839, 2_13840, 2_13841, 2_13842, 2_13845, 2_13846, 2_13847, 2_13850, 2_13851, 2_50167, 2_50168, 2_50169, 2_50170, 2_50171, 2_50172, 2_50175, 2_50176, 2_84981, 2_84982, 2_84983, 2_84984, 2_84985, 2_84986, 2_84987, 2_84988, 2_84991, 2_84992	3_34066, 3_34067, 3_34068, 3_34069, 3_34071, 3_34072, 3_34074, 3_42010, 3_42011, 3_42012, 3_42015, 3_42016, 3_42021	4_22226, 4_22227, 4_22228, 4_22229, 4_22230, 4_22231, 4_22232, 4_22234, 4_22235, 4_27600, 4_27601, 4_27602, 4_27603, 4_27624, 4_27625	5_15786, 5_15787, 5_15851, 5_15853, 5_15854, 5_16031, 5_16035, 5_16036
0_32961, 0_32962, 0_32963, 0_32964, 0_32965	1_23774, 1_23995, 1_6263, 1_6506, 1_8955, 1_9744	2_100050, 2_100051, 2_100052, 2_100603, 2_100604, 2_100605, 2_19846, 2_19847, 2_19848, 2_19849, 2_19850, 2_19851, 2_19852, 2_19858, 2_19859, 2_30075, 2_30080, 2_30083, 2_30084, 2_30085, 2_30086, 2_30087, 2_30088, 2_30089, 2_30090, 2_70565, 2_70566	3_51064, 3_51065, 3_51066, 3_51067, 3_54723, 3_54724, 3_54725, 3_54726, 3_91340, 3_91345, 3_91346, 3_95262, 3_95263, 3_95264, 3_95265, 3_95266, 3_95267	4_33591, 4_33594, 4_33595, 4_33596, 4_33598, 4_33599, 4_55027, 4_55028, 4_55032, 4_55033, 4_55034, 4_55035, 4_55036, 4_55037, 4_59198, 4_59199, 4_59200	5_35447, 5_35448
0_24590, 0_24591, 0_24592, 0_24593, 0_24594	1_11024, 1_2073, 1_2550, 1_3032	2_22544, 2_22545, 2_22582, 2_22583, 2_22587, 2_22588, 2_22589, 2_22590, 2_22591, 2_22592, 2_22593, 2_22594, 2_58278, 2_58279, 2_58283, 2_58284, 2_58285, 2_58286, 2_58287, 2_58288, 2_92669, 2_92670, 2_92671, 2_92672, 2_92673, 2_92674	3_63369, 3_63370, 3_67315, 3_67316, 3_67317, 3_67318, 3_67319, 3_67320, 3_75512, 3_75513, 3_75514, 3_75515	4_39369, 4_39370, 4_39406, 4_39407, 4_39410, 4_39411, 4_39412, 4_39413, 4_39414, 4_44308, 4_44309, 4_44313, 4_44314, 4_44315, 4_44316	5_24323, 5_24324, 5_24325, 5_24327, 5_24328, 5_24329, 5_24330, 5_24331, 5_24352, 5_24353, 5_26125, 5_26126
0_26209, 0_26210, 0_26212, 0_26213, 0_34797	1_3011, 1_4337, 1_6956	2_24050, 2_24051, 2_24052, 2_24053, 2_24056, 2_24057, 2_24058, 2_24059, 2_59823, 2_59824, 2_59825, 2_59826, 2_59827, 2_59828, 2_59830, 2_59831, 2_59834, 2_59835, 2_94171, 2_94172, 2_94173, 2_94174, 2_94175, 2_94176, 2_94177, 2_94178, 2_94179	3_64389, 3_64390, 3_64391, 3_64392, 3_64394, 3_64395, 3_72351, 3_72352, 3_72353, 3_72355, 3_72356, 3_72359, 3_72360, 3_96424	4_40662, 4_40663, 4_40664, 4_40665, 4_40666, 4_40667, 4_40668, 4_40669, 4_45689, 4_45690, 4_45691, 4_45692, 4_45693, 4_45698, 4_45699, 4_45701	5_25467, 5_25468, 5_25470, 5_25471, 5_25472, 5_25473, 5_25474, 5_25490
0_16609, 0_16610, 0_16611, 0_16612, 0_16613, 0_16616, 0_16618, 0_16619	1_15393, 1_16459, 1_17319, 1_17379, 1_18260, 1_25826, 1_27220, 1_27953	2_14715, 2_14716, 2_14718, 2_14719, 2_14720, 2_14721, 2_14723, 2_51130, 2_51131, 2_51132, 2_51133, 2_51134, 2_51136, 2_51137, 2_51138, 2_51140, 2_85874, 2_85875, 2_85876, 2_85877, 2_85878, 2_85879, 2_85880, 2_85881, 2_85882, 2_85884, 2_85885, 2_85886	3_34264, 3_34665, 3_34670, 3_38449, 3_42674, 3_42675, 3_47094, 3_47096	4_23005, 4_23006, 4_23007, 4_23008, 4_23009, 4_23011, 4_28638, 4_28639, 4_28640, 4_28641, 4_28642, 4_28644	5_16336, 5_16337, 5_16339, 5_16340, 5_16558, 5_16575
0_34397, 0_34399, 0_8530, 0_8532, 0_8533, 0_8534	1_11594, 1_13672, 1_3885, 1_5242, 1_6599	2_101386, 2_101387, 2_101388, 2_101390, 2_43361, 2_43362, 2_43363, 2_43364, 2_43365, 2_43366, 2_43367, 2_66772, 2_66774, 2_7686, 2_7687, 2_7688, 2_7689, 2_7691, 2_7692, 2_7693, 2_78597, 2_78598, 2_78599, 2_78600, 2_78601, 2_78602, 2_78603	3_16311, 3_16312, 3_16313, 3_16315, 3_16316, 3_24660, 3_24661, 3_24662, 3_24663, 3_92175, 3_99533	4_10910, 4_10911, 4_10912, 4_10913, 4_10914, 4_10915, 4_16203, 4_16204, 4_16205, 4_16206, 4_56128, 4_60300	5_33228, 5_9057, 5_9058, 5_9069, 5_9070, 5_9071, 5_9072
