0_19928, 0_19929, 0_19930, 0_986, 0_994, 0_996, 0_997	1_27271, 1_27318, 1_29138, 1_3624, 1_3856, 1_4109, 1_4688	2_19370, 2_19440, 2_19856, 2_19875, 2_19876, 2_20189, 2_20512, 2_20561, 2_20829, 2_8478, 2_9038, 2_9406	3_2384, 3_24292, 3_24720, 3_2566, 3_3308	4_19748, 4_31284, 4_3916, 4_3917, 4_3918, 4_3919, 4_3920, 4_3921
0_14089, 0_14090, 0_14091, 0_14092, 0_14093, 0_14094, 0_14095	1_15429, 1_15711, 1_16531, 1_16652, 1_16945, 1_16982, 1_17006	2_1473, 2_1538, 2_2436, 2_2552, 2_511, 2_529, 2_637, 2_740, 2_786, 2_841	3_12745, 3_12977, 3_13277, 3_13470, 3_13764, 3_13984, 3_14204, 3_14370, 3_14498	4_12077, 4_12078, 4_12079, 4_12080, 4_12081
0_35464, 0_35465, 0_35466, 0_35467, 0_35468, 0_35469, 0_35472	1_25077, 1_25631, 1_25681, 1_25753, 1_25968, 1_26118, 1_26540, 1_26791, 1_26912	2_30844, 2_30993, 2_31545, 2_31815, 2_31928, 2_32135	3_29284, 3_29470, 3_29710, 3_29763, 3_29815, 3_29977, 3_30507, 3_30593, 3_30710	4_34972, 4_34973, 4_34974, 4_34975, 4_34976, 4_34977, 4_34978
0_863, 0_864, 0_865, 0_866, 0_867, 0_868, 0_869, 0_870	1_20090, 1_20136, 1_20746, 1_20773, 1_21721, 1_21789, 1_21944, 1_21999, 1_22003	2_17211, 2_17489, 2_17917, 2_18234, 2_18718, 2_19114, 2_19246	3_31133, 3_31314, 3_31612, 3_32584, 3_33306	4_496, 4_497, 4_498, 4_499, 4_500, 4_501
0_3695, 0_3696, 0_3697, 0_3698	1_19988, 1_20436, 1_21781	2_16882, 2_17015, 2_17369, 2_17506, 2_17964, 2_18503, 2_18552, 2_18592, 2_18658, 2_18903, 2_18906, 2_18979	3_31126, 3_31737, 3_31787, 3_31788, 3_32164, 3_32437, 3_33142	4_1910, 4_1911, 4_1912, 4_1913, 4_1914, 4_1915, 4_1916, 4_1917, 4_1918
0_14710, 0_14711, 0_14714, 0_14715, 0_14716, 0_14717, 0_14718	1_15549, 1_15988, 1_16048, 1_16166, 1_16412	2_1275, 2_1349, 2_1827, 2_399	3_12401, 3_12457, 3_12504, 3_12553, 3_12738, 3_12826, 3_12858, 3_13650	4_15557, 4_15558, 4_15559, 4_15564, 4_15565, 4_15566, 4_15567, 4_15569, 4_15570, 4_15571, 4_15572
0_37001, 0_37002, 0_37003, 0_37004, 0_37005, 0_37006, 0_37007, 0_37008, 0_37009, 0_37010, 0_37011, 0_37012, 0_37013	1_24678, 1_25389, 1_26296, 1_26444, 1_26566, 1_26574, 1_26785	2_13965, 2_14495, 2_15899, 2_16289, 2_16326	3_28873, 3_29180, 3_29340, 3_29702, 3_30364, 3_30377, 3_30515, 3_30891	
0_4734, 0_4735, 0_4736, 0_4737, 0_4738, 0_4739, 0_4740, 0_4741	1_3368, 1_3529, 1_3553, 1_4755, 1_4838	2_21436, 2_21453, 2_21950, 2_22116	3_7730, 3_7772, 3_7815, 3_7816, 3_9163	4_5060, 4_5061, 4_5062, 4_5063, 4_5064, 4_5065, 4_5066, 4_5067, 4_5068, 4_5069
0_9023, 0_9110, 0_9111, 0_9112, 0_9113, 0_9315, 0_9316, 0_9317	1_10610, 1_10894, 1_9917	2_32692, 2_32786, 2_32913, 2_33016, 2_33197, 2_33413, 2_33663, 2_33716, 2_33928, 2_34041, 2_34355	3_1709, 3_1823, 3_267, 3_387, 3_389, 3_449	4_3032, 4_3033, 4_3034, 4_3035
0_15704, 0_15705, 0_15706, 0_15707, 0_15708, 0_15709	1_15411, 1_15836, 1_16262, 1_16286, 1_17135, 1_17236	2_2063, 2_2460, 2_265, 2_712, 2_905, 2_988	3_12569, 3_12755, 3_12897, 3_13125, 3_13542, 3_13580, 3_13712, 3_13748, 3_14327	4_14653, 4_14654, 4_14655, 4_14656, 4_14657
