0_23366, 0_23367, 0_23368, 0_4066, 0_4067, 0_4068, 0_4069, 0_4070, 0_4071, 0_4072	1_19843, 1_19999, 1_20367, 1_20371, 1_20380, 1_21650, 1_23046, 1_23870, 1_24286, 1_54197, 1_55358, 1_55451	2_17046, 2_17048, 2_18427, 2_18526, 2_18810, 2_34750, 2_34853, 2_35971, 2_36061, 2_36891	3_22732, 3_22733, 3_22734, 3_22735, 3_22736, 3_22737
0_14089, 0_14090, 0_14091, 0_14092, 0_14093, 0_14094, 0_14095	1_15429, 1_15711, 1_16531, 1_16652, 1_16945, 1_16982, 1_17006, 1_45040, 1_45272, 1_45572, 1_45765, 1_46059, 1_46279, 1_46499, 1_46665, 1_46793	2_1473, 2_1538, 2_2436, 2_2552, 2_511, 2_529, 2_637, 2_740, 2_786, 2_841	3_12077, 3_12078, 3_12079, 3_12080, 3_12081
0_857, 0_858, 0_863, 0_864, 0_865, 0_866, 0_867, 0_868, 0_869, 0_870	1_20136, 1_20746, 1_20773, 1_21721, 1_21789, 1_21944, 1_21999, 1_22003, 1_63428, 1_63609, 1_63907, 1_64879, 1_65601	2_17211, 2_17489, 2_17917, 2_18234, 2_18718, 2_19114, 2_19246	3_496, 3_497, 3_498, 3_499, 3_500, 3_501
0_3695, 0_3696, 0_3697, 0_3698	1_19988, 1_20436, 1_21781, 1_63421, 1_64032, 1_64082, 1_64083, 1_64459, 1_64732, 1_65437	2_16882, 2_17015, 2_17369, 2_17506, 2_17964, 2_18503, 2_18552, 2_18592, 2_18658, 2_18903, 2_18906, 2_18979	3_1910, 3_1911, 3_1912, 3_1913, 3_1914, 3_1915, 3_1916, 3_1917, 3_1918
0_4734, 0_4735, 0_4736, 0_4737, 0_4738, 0_4739, 0_4740, 0_4741	1_3368, 1_3529, 1_3553, 1_40025, 1_40067, 1_40110, 1_40111, 1_41458, 1_4755, 1_4838	2_21436, 2_21453, 2_21950, 2_22116, 2_23177, 2_23321, 2_23647	3_5060, 3_5061, 3_5062, 3_5063, 3_5064, 3_5065, 3_5066, 3_5067, 3_5068, 3_5069
	1_50862, 1_50876, 1_51315, 1_51789, 1_51837, 1_52232, 1_52411, 1_52537, 1_52547, 1_52596, 1_52803, 1_52915		3_24893, 3_24894, 3_24895, 3_24896, 3_24897, 3_24898, 3_24899, 3_24900, 3_24901, 3_24902, 3_24903, 3_24904, 3_24905, 3_24906, 3_24907, 3_24908, 3_24909, 3_24910, 3_24911, 3_24912, 3_24913, 3_24914
0_280, 0_281, 0_282, 0_283, 0_284, 0_285	1_19907, 1_19924, 1_20170, 1_20779, 1_21475, 1_21487, 1_21764, 1_21811, 1_21821, 1_21906, 1_22110	2_16816, 2_16909, 2_16952, 2_17377, 2_17860, 2_18426, 2_18506	3_292, 3_293, 3_294, 3_295, 3_296, 3_297, 3_298, 3_299
0_9023, 0_9110, 0_9111, 0_9112, 0_9113, 0_9315, 0_9316, 0_9317	1_10610, 1_10894, 1_32562, 1_32682, 1_32684, 1_32744, 1_34004, 1_34118, 1_9917	2_32692, 2_32786, 2_32913, 2_33016, 2_33197, 2_33413, 2_33663, 2_33716, 2_33928, 2_34041, 2_34355	3_3032, 3_3033, 3_3034, 3_3035
0_15704, 0_15705, 0_15706, 0_15707, 0_15708, 0_15709	1_15411, 1_15836, 1_16262, 1_16286, 1_17135, 1_17236, 1_44864, 1_45050, 1_45192, 1_45420, 1_45837, 1_45875, 1_46007, 1_46043, 1_46622	2_2063, 2_2460, 2_265, 2_712, 2_905, 2_988	3_14653, 3_14654, 3_14655, 3_14656, 3_14657
0_31831	1_1768, 1_1876, 1_1932, 1_2314, 1_2567, 1_2613, 1_2738, 1_2933, 1_3038, 1_3166, 1_36197, 1_37459, 1_37590, 1_38276, 1_38828, 1_39237, 1_583, 1_848	2_11835, 2_12880, 2_13052, 2_13514, 2_13537	3_29667, 3_29668, 3_29669, 3_29670, 3_29671, 3_29672, 3_29673, 3_29674
